Volume,Section_Number,Section_Title,Section_Editor,Component_ID,Component_Title,Component_Editor,Part_Number,Part_Title,Sub_Part_ID,Sub_Part_Title,Chapter_Number,Chapter_Title,Chapter_Authors,start_page,end_page,investigations,treatment_steps,patient_advice,red_flags,prognosis_followup,extraction_status
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,1,General Considerations,,,1,General Considerations of Infections: Basic Concepts of Infections,"MVS Subbalaxmi, P Umabala",198,208,"[""History and physical examination to localize infection"", ""Check for nutritional status and systemic signs"", ""Radiograph for pneumonia diagnosis"", ""Direct microscopic examination: Gram stain, acid-fast stain, saline/iodine mount, KOH/calcofluor white, India ink mount"", ""Culture as gold standard for infectious disease diagnosis"", ""Antimicrobial susceptibility testing for significant isolates"", ""Serological tests for antigen/antibodies (scrub typhus, enteric fever, leptospirosis, dengue, HIV, hepatitis, malaria, toxoplasmosis, cysticercosis, echinococcosis, candidiasis, aspergillosis)"", ""Histopathology"", ""Fine needle aspiration and cytology"", ""Radiology and imaging"", ""MALDI-TOFMS for rapid microbial identification"", ""Nucleic acid amplification tests"", ""Molecular sequencing and typing"", ""Molecular probes""]","[""Empiric and presumptive treatment based on sound rationale"", ""Narrow antibiotic therapy when possible (e.g., cloxacillin for MSSA)"", ""Avoid indiscriminate use of reserve antibiotics"", ""Modify antibiotic doses in renal failure"", ""Follow prescribed guidelines for perioperative antibiotic prophylaxis"", ""Avoid extending perioperative antibiotic prophylaxis beyond guidelines"", ""Anticoagulants, steroids, and antivirals in combinations for some COVID-19 patients"", ""Adhere to rational antimicrobial therapy principles""]","[""Explain need for adherence and adverse drug reactions before starting antibiotics"", ""All TB cases should be notified to government"", ""Immunization can benefit population and reduce antibiotic use""]","[""Suspect resistant infection with recurrent infections, no response to standard treatment, or possible exposure"", ""Serious life-threatening fungal infections following steroid use in COVID-19 treatment"", ""Empiric fluoroquinolone monotherapy for RTIs associated with delays in TB therapy and acquired resistance""]","[""Assess response to therapy"", ""Monitor for adverse effects of antimicrobials"", ""Consider modification of treatment for non-responsiveness"", ""Outbreak investigation if infection numbers increase above baseline"", ""Short-lasting immunity and risk of reinfection after COVID-19"", ""Check for delayed thrombosis and multisystem inflammatory syndrome post-COVID-19""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,1,General Considerations,,,2,Laboratory Diagnosis of Infectious Diseases,"Anand Shah, Camilla Rodrigues",209,231,"[""Proper specimen selection, collection, and transport"", ""Microscopy: Gram stain, Acid-fast stain, KOH preparation, Auramine/rhodamine, Wright\u2019s Giemsa, Silver stains, Calcofluor-white, India ink"", ""Culture on liquid and solid media, aerobic and anaerobic incubation"", ""Blood culture: skin prep with 2% chlorhexidine in 70% isopropyl alcohol"", ""Automated blood culture systems: BACTEC, BacT/Alert, TREK-ESP"", ""Automated liquid culture for tuberculosis: MGIT 960"", ""Automated/commercial identification systems: BD Phoenix, Vitek 2, Microscan, API system"", ""MALDI-TOF MS for microorganism identification"", ""T2MR and T2Candida for fungal sepsis detection"", ""Antibiotic sensitivity testing: disk diffusion, MIC, E test, automated systems"", ""Molecular resistance testing: PCR for MRSA, VRE, carbapenemases (mecA, vanA, blaKPC, etc.)"", ""Multiplex PCR for beta-lactamase/carbapenemase activity"", ""Lateral flow immunoassays (e.g., Carba 5, mcr-1 gene detection)"", ""Serology: IgG, IgM antibody detection for various viruses"", ""ELISA for antigen/antibody detection (TORCH, HIV, hepatitis, EBV, etc.)"", ""Immunofluorescence antibody staining for viral antigens"", ""Latex agglutination for bacterial and viral antigens (N. meningitidis, H. influenzae, S. pneumoniae, E. coli, GBS)"", ""CrAg LFA and ELISA for cryptococcal antigen"", ""Rapid diagnostic tests for Plasmodium (pLDH, HRP II, aldolase)"", ""Dengue NS1 antigen ELISA, IgM ELISA, PCR for dengue"", ""BinaxNOW ICT for S. pneumoniae and Legionella pneumophila antigens"", ""Histoplasma antigen detection in serum, urine, CSF"", ""EIAs and PCR for Clostridium difficile toxins"", ""H. pylori antigen assay (SpHpSA) in feces"", ""Rotavirus and adenovirus antigen assays (latex agglutination, ICT)"", ""Respiratory Viral Screen DFA Kits"", ""Biomarkers: CRP, procalcitonin, pentraxin 3, presepsin"", ""Beta-D-glucan assay for fungal sepsis"", ""Mannan antigen/anti-mannan antibody for candidemia"", ""Galactomannan (serum/BAL) for aspergillosis"", ""Lateral flow assay for Aspergillus antigen (JF5)"", ""Molecular methods: nucleic acid probes, in situ hybridization"", ""PCR, real-time PCR, TMA, NASBA for nucleic acid amplification"", ""Signal amplification: bDNA, hybrid capture"", ""Probe amplification: LCR, Q-beta replicase, cycling probe technology"", ""DNA microarray (biochip, gene array) platforms"", ""PCR for atypical pneumonia pathogens"", ""Molecular resistance testing (MRSA, VRE, CRE)"", ""Molecular TB diagnostics: Xpert MTB/RIF, Xpert MTB/XDR, Xpert MTB/RIF Ultra, TrueNat MTB/Plus"", ""Line probe assay (LPA) GenoType MTBDR for TB drug resistance"", ""Pyrosequencing for TB drug resistance mutations"", ""Next-generation and whole-genome sequencing for TB"", ""PCR/real-time PCR for HSV, CMV, EBV, respiratory viruses, and viral load (HIV, HBV, HCV)"", ""Ultrarapid molecular test kits for SARS-CoV-2 (ID NOW, Xpert Xpress, Biofire)"", ""Serology for SARS-CoV-2 (IgM, IgG to antigen targets)"", ""Metagenomic/minION sequencing for viral epidemiology"", ""BioFire FilmArray system: panels for meningitis/encephalitis, GI, respiratory, pneumonia, and blood culture ID""]",[],"[""Collect specimens before starting antibiotics"", ""Ensure quick transport of specimens to laboratory"", ""Maintain transport temperature per specimen type (e.g., CSF at room temp, others at 4\u00b0C)"", ""Use proper skin prep for blood cultures with 2% chlorhexidine in 70% isopropyl alcohol"", ""Use sufficient specimen volumes as recommended (e.g., at least 30\u201340 mL blood for culture)""]","[""Specimens collected after antibiotic administration may yield misleading results"", ""Inappropriate specimen collection (e.g., swabs from non-preferred sites) can lead to contamination and misinterpretation"", ""Delay in specimen transport can cause overgrowth of normal flora""]","[""Monitor biomarkers (CRP, procalcitonin, galactomannan) for therapy response"", ""Repeat/serial testing (e.g., galactomannan, beta-D-glucan) may guide treatment monitoring"", ""Molecular and antigen testing can allow early diagnosis and impact outcomes"", ""Use follow-up H. pylori antigen assay to confirm eradication"", ""Decreasing CRP in sepsis associated with lower mortality""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,1,General Considerations,,,3,Syndromic Approach to Infectious Diseases,Jatin Ahuja,232,245,"[""Detailed clinical history and meticulous examination"", ""Radiology investigations as required for organ involvement"", ""CBC: complete blood count"", ""CBNAAT: cartridge-based nucleic acid amplification test"", ""KFT: kidney function test"", ""LFT: liver function test"", ""Chest X-ray"", ""Blood cultures and fluid cultures (aerobic and anaerobic)"", ""AFB: acid-fast bacillus testing"", ""Multiplex PCR panel assays for respiratory, blood, GI, ME, and LRTI pathogens"", ""Serology"", ""X-ray, CT scan, or MRI for bone and joint infection"", ""Fluid analysis (sinus/joint): Protein, sugar, TLC, DLC, ADA"", ""Procalcitonin"", ""ESR: erythrocyte sedimentation rate"", ""CRP: C-reactive protein""]","[""Initial supportive therapy and source reduction"", ""Broad-spectrum antibiotics if bacterial etiology suspected, based on local antibiogram"", ""Narrow antibiotics to specific therapy once microbiological diagnosis is confirmed"", ""Specific therapy for fungal, tubercular, or viral etiology as suspected""]","[""Seek early medical attention for acute symptoms"", ""Inform about underlying conditions (malignancy, diabetes, HIV, splenectomy, pregnancy)""]","[""Acute onset fever with respiratory distress (SpO2 < 90% or PaO2/FiO2 < 200)"", ""Platelet count <100,000 with fever and rash""]","[""Early syndromic management minimizes sequelae and limits transmission"", ""Monitor for symptom improvement"", ""Return if no improvement or worsening symptoms""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,2,Antimicrobial Therapy,,,4,Antibiotic Resistance and Antimicrobial Stewardship,Abdul Ghafur,246,251,[],"[""Prescribe antibiotics rationally"", ""Follow proper infection control measures in hospitals""]","[""Avoid indiscriminate antibiotic usage"", ""Do not purchase antibiotics without prescription"", ""Be aware of antibiotic resistance issues""]","[""Over the counter sale of antibiotics without prescription"", ""Unscientific antibiotic use in veterinary practice"", ""Inadequate infection control fostering MDR bacteria spread""]","[""Monitor adherence to national AMR action plan"", ""Assess implementation of infection control and antibiotic policies"", ""Follow-up on state level AMR action plan implementation""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,2,Antimicrobial Therapy,,,5,Infection in the Immunocompromised Host,"Niveditha Niranjan, Subramanian Swaminathan",252,265,"[""High resolution CT scan of lungs"", ""Bronchoscopy with bronchoalveolar lavage (BAL)"", ""Multiplex PCR from nasopharyngeal swab"", ""Cartridge Based Nucleic Acid Amplification Test (CB-NAAT) for tuberculosis"", ""Beta D Glucan (BDG)"", ""Galactomannan assay"", ""Biopsy of lung or tissue"", ""Radiological assessment of chest"", ""Neurological imaging"", ""Complete cerebrospinal fluid analysis including PCR"", ""Stool examination with Gram stain, modified AFB, trichrome, ova/parasites"", ""Multiplex PCR for stool pathogens"", ""Endoscopic or colonoscopic evaluation"", ""Imaging for hepatobiliary infections""]","[""Early empiric therapy based on clinical and epidemiological evidence"", ""Discontinue possibly offending medication if noninfectious neurological mimic suspected"", ""Screen and treat for latent TB infection before biological agents"", ""Prophylaxis for Pneumocystis and herpes after alemtuzumab"", ""Prophylaxis for HIV: cotrimoxazole, azithromycin, isoniazid"", ""Prophylaxis for solid organ transplant: cotrimoxazole, fluconazole/voriconazole, valganciclovir"", ""Prophylaxis for stem cell transplant: letermovir, valaciclovir, cotrimoxazole, posaconazole/micafungin"", ""Prophylaxis for high dose steroid: cotrimoxazole"", ""Prophylaxis for splenectomy: amoxicillin""]","[""Vaccination before immunosuppression when possible"", ""No live vaccines for 6 months after tocilizumab"", ""Household contacts should be vaccinated if patient is immunosuppressed"", ""Promptly report development of new symptoms"", ""Complete all prescribed prophylactic medications""]","[""Rapid deterioration"", ""Unusual pathogens or poor response to therapy"", ""Life-threatening infections"", ""Fever may be absent despite severe infection"", ""Delayed or missed diagnosis due to diminished symptoms""]","[""Monitor for symptom improvement"", ""Monitoring for infection during and after biological agent therapy"", ""MRI head yearly with natalizumab"", ""Monitor for zoster, GI perforation on specific drugs"", ""Vaccinate and monitor serology as per protocol"", ""Return if no clinical improvement or worsening symptoms""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,2,Antimicrobial Therapy,,,6,Diagnosis and Treatment of Hospital-acquired Infections,"Malathi Murugesan, Anupa Thampy, Priscilla Rupali",266,290,"[""Clinical Pulmonary Infection Score (CPIS)"", ""Chest X-ray for infiltrates"", ""Blood leukocyte count"", ""Bronchoalveolar lavage (BAL) quantitative culture"", ""Endotracheal aspirate (ETA) semiquantitative/quantitative culture"", ""Gram stain of respiratory secretions"", ""Paired blood cultures from central and peripheral lines"", ""Differential time to positivity in blood cultures"", ""Catheter tip culture (>15 CFU)"", ""Qualitative/semiquantitative catheter segment culture"", ""Histology at autopsy for VAP (gold standard microbiological)"", ""Urine culture (\u2265105 CFU/mL)"", ""Signs/symptoms of UTI with urine culture"", ""Label specimen before collection"", ""Disinfect port before urine collection"", ""Transport urine specimen to lab or refrigerate immediately""]","[""Obtain diagnostic specimens before antibiotics"", ""Initiate intravenous empiric antimicrobial therapy for VAP/CRBSI/CAUTI"", ""Definitive antibiotics as per susceptibility, total duration 7 days VAP, 10\u201314 days CRBSI"", ""Switch to oral therapy if stable and improving"", ""Stop antibiotics in 7 days if no pathogen isolated and improving"", ""Catheter removal in CRBSI (non-tunneled); consider removal for tunneled catheters"", ""Antibiotic lock therapy if catheter salvage necessary"", ""Antimicrobial therapy plus catheter management for CAUTI"", ""Remove catheter if not required in CAUTI"", ""Replace urinary catheter if >14 days before urine specimen collection"", ""Empirical therapy depends on severity, risk for resistance, local antibiogram""]","[""Head elevation to 30\u201345 degrees to prevent aspiration"", ""Daily assessment of readiness to extubate"", ""Daily sedation interruption if possible"", ""Hand hygiene before and after catheter care"", ""Remove catheters as soon as not required"", ""Avoid unnecessary urinary catheter use"", ""Use smallest gauge catheter possible"", ""Secure catheter; maintain closed system"", ""Do not routinely change chronic indwelling catheters"", ""Alternate to indwelling catheters: intermittent or external condom catheter when possible"", ""Never collect urine sample from collection bag""]","[""Severe sepsis"", ""Hemodynamic instability or septic shock"", ""Endocarditis or metastatic infection with CRBSI"", ""Suppurative thrombophlebitis or propagating clot"", ""Persistent bacteremia after 72 hours of appropriate therapy"", ""Tunnel tract or port infection in S. aureus, P. aeruginosa, resistant GNB, Candida""]","[""Monitor clinical improvement and hemodynamic stability"", ""Repeat blood cultures during therapy in CRBSI"", ""Assess for complications if no improvement in 72 hours"", ""Antibiotics duration: 7 days for VAP, 10\u201314 days for CRBSI/CAUTI"", ""Tailor antibiotic regimen based on culture and susceptibility results""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,2,Antimicrobial Therapy,,,7,Prevention of Healthcare-associated Infections,"Yamunadevi R, V Ramasubramanian",291,303,[],"[""Hand hygiene before procedures and catheter insertion"", ""Avoid unnecessary catheterization; use catheters only for appropriate indications"", ""Use sterile gloves, drape, sponges, and antiseptic solution for catheter insertion"", ""Insert catheters using strict aseptic non-touch technique"", ""Use a closed drainage system for urinary catheters"", ""Daily catheter need review and prompt removal when unnecessary"", ""Use aseptic technique for daily catheter care"", ""Maximal sterile barrier precautions for central line insertion"", ""Skin cleaning with alcohol-based chlorhexidine before central line insertion"", ""Avoid femoral vein for central venous access in adults"", ""Use checklist and ultrasound guidance for internal jugular line insertion"", ""Chlorhexidine-impregnated dressings to protect short-term CVC sites"", ""Daily central line necessity review and prompt removal of unnecessary lines"", ""Scrub hub, ports, connectors with 70% alcohol before use"", ""Replace transparent CVC dressings every 7 days; gauze dressings every 2 days"", ""Replace administration sets not used for blood/lipids at intervals not longer than 96 hours"", ""Do not routinely replace central venous and hemodialysis catheters to prevent infection"", ""Use NIPPV when feasible for ventilatory support"", ""Use aseptic technique and clean gloves for endotracheal intubation"", ""Elevate head of bed to 30\u201345 degrees for ventilated patients"", ""Daily assessment of extubation requirement in ventilated patients"", ""Interrupt sedation daily for awakening and breathing trials if no contraindication"", ""Oral care with chlorhexidine for ventilated patients"", ""Preoperative bathing with plain or antimicrobial soap for surgery"", ""Avoid hair removal; use electric clippers if necessary"", ""Preoperative intranasal mupirocin 2% for S. aureus carriers in specified surgeries"", ""Glycemic control <200 mg/dL in perioperative period"", ""Treat remote infection before surgery"", ""Surgical hand preparation with antimicrobial soap"", ""Parenteral antibiotic prophylaxis within 1 hour before incision"", ""Prepare surgical site with alcohol-based chlorhexidine solution"", ""Maintain perioperative oxygenation and normothermia"", ""Stop surgical antibiotic prophylaxis within 24 hours post-surgery""]","[""Patient education for preoperative care"", ""Daily review of catheter and central line necessity"", ""Keep urine collection bag below bladder level; do not rest on floor"", ""Remove urinary catheters promptly when no longer necessary"", ""Follow proper hand hygiene as per protocol""]","[""Do not continue surgical antibiotic prophylaxis beyond 24 hours post-surgery"", ""Do not use femoral vein for central venous access in adults"", ""Do not routinely replace central venous and hemodialysis catheters to prevent infection""]","[""Daily assessment of catheter and central line need"", ""Monitor for infection, inflammation, or pain at catheter/central line insertion sites"", ""Hospital infection surveillance, reporting, and follow-up as per infection control program""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,2,Antimicrobial Therapy,,,8,Hospital Infection Control,Rohini Kelkar,304,311,"[""Surveillance system to monitor healthcare associated infections"", ""Standardized microbiology services for diagnosis"", ""Antimicrobial susceptibility testing"", ""Accurate identification of etiologic agents"", ""Review of epidemiological surveillance data"", ""Outbreak investigations""]","[""Hand washing with antiseptics such as chlorhexidine gluconate 2% w/v"", ""Surgical hand antisepsis with 4% w/v chlorhexidine gluconate"", ""Use of alcohol-based hand-rubs when no organic soil present"", ""Isolation in negative pressure rooms for highly transmissible infections"", ""Protective isolation with positive pressure for neutropenic patients"", ""Use gloves, gowns, masks, eye shields and aseptic technique"", ""Immediate treatment of body fluid spillages with sodium hypochlorite (10,000 ppm)"", ""Sterilize surgical instruments"", ""Disinfect heat labile equipment with 2% glutaraldehyde or ortho-phthalaldehyde"", ""Implement antimicrobial stewardship programs"", ""Proper biomedical waste segregation, storage, treatment and disposal""]","[""Maintain hand hygiene before and after patient contact"", ""Follow universal precautions with blood and body fluids"", ""Do not reuse or reprocess single-use items (e.g., injection needles)"", ""Report any occupational exposure immediately""]","[""Unusual increase in cases indicating an outbreak"", ""Violation of biomedical waste rules may result in penalties""]","[""Monitor infection trends via surveillance"", ""Track antimicrobial susceptibility patterns"", ""Review infection control activities regularly"", ""Follow recovery through surveillance systems"", ""Report and analyze adverse events for patient safety""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,3,Bacterial Infections,3.1,Gram-positive Infections,9,Staphylococcal Infections,Ram Gopalakrishnan,312,318,"[""Gram stain: gram-positive cocci in clusters"", ""Blood cultures"", ""Surveillance cultures after starting antibiotics"", ""Aspirate/abscess cultures for SA"", ""Imaging for abscesses, osteomyelitis, and prosthesis infection""]","[""Topical chlorhexidine or povidone iodine for impetigo"", ""Fusidic acid cream for impetigo"", ""Local treatment for furuncles"", ""Drainage plus parenteral antibiotics for carbuncle"", ""Immediate surgical intervention plus parenteral antibiotics for necrotizing fasciitis"", ""Drain and remove infected devices for BSI"", ""Parenteral antibiotics minimum 2 weeks for BSI; 4 weeks if complications"", ""Parenteral antibiotics 4\u20136 weeks for endocarditis"", ""Vancomycin for severe MRSA infections"", ""Ceftaroline for MRSA"", ""Flucloxacillin, cloxacillin, cefazolin for MSSA"", ""Clindamycin, cotrimoxazole, linezolid for oral MRSA therapy"", ""Surgical debridement and prolonged antibiotics for chronic osteomyelitis"", ""Removal of prosthesis for prosthetic joint infections"", ""Joint washout plus parenteral antibiotics for septic arthritis"", ""Drainage plus parenteral antibiotics for pyomyositis"", ""Vancomycin for CoNS infections""]","[""Preoperative decolonization of carriers before select surgeries"", ""Complete full course of prescribed antibiotics""]","[""Severe pain, hemodynamic instability, bullae: necrotizing fasciitis"", ""Progressive edema, erythema, pain after surgery"", ""Fulminant pneumonia with pneumatoceles, pneumothorax, empyema"", ""Heart failure, valve ring abscess in endocarditis""]","[""Monitor for clearance of bacteremia with surveillance cultures"", ""Minimum 2-4 weeks antibiotic therapy for complicated BSI"", ""Monitor for complications during treatment of endocarditis"", ""Removal of source improves outcomes in device-related infections"", ""Follow-up after surgery or prosthesis removal""]",Success
1,1,INFECTIOUS DISEASES,,1A,General Considerations and Bacterial Infections,Rajeev Soman,3,Bacterial Infections,3.1,Gram-positive Infections,10,Streptococcal Infections,Surabhi Madan,319,326,"[""Throat culture for GAS pharyngitis"", ""Rapid antigen test by latex agglutination for GAS"", ""Gram stain and culture of pus/exudate in impetigo"", ""Pus, cutaneous aspirates and blood cultures in specific cellulitis cases"", ""Cultures of infected fluid and tissue in necrotizing fasciitis"", ""Blood culture in necrotizing fasciitis"", ""Pleural fluid culture in pneumonia with effusion""]","[""Injection Benzathine Penicillin G 1.2 mU IM single dose for pharyngitis"", ""Penicillin V 250 mg PO TDS or 500 mg BD for 10 days for pharyngitis"", ""Cephalexin, cefadroxil, azithromycin, or erythromycin alternative for pharyngitis"", ""Topical mupirocin or retapamulin BID for 5 days for impetigo"", ""Oral dicloxacillin, cephalexin, or clindamycin 7 days for impetigo (numerous lesions/outbreaks)"", ""Oral penicillin for impetigo if cultures yield streptococci alone"", ""Penicillin G 1\u20132 mU IV q4h (with clindamycin) in severe cellulitis"", ""Oral penicillin for mild cellulitis"", ""Antimicrobial therapy minimum 5 days for cellulitis"", ""Surgical debridement for necrotizing fasciitis"", ""Penicillin G 2\u20134 mU IV q4h plus clindamycin 600\u2013900 mg q8h for necrotizing fasciitis"", ""Pleural fluid drainage in GAS pneumonia with effusion"", ""Penicillin G 2\u20134 mU IV q4h for 5\u20137 days for uncomplicated GAS pneumonia"", ""Penicillin is the drug of choice for group B, C, G, D streptococci and viridans group infections""]","[""Complete entire 10 days antibiotic course to prevent complications"", ""Extend cellulitis therapy if not improved after 5 days"", ""Outbreak control with oral therapy in impetigo""]","[""Sepsis in cellulitis"", ""Malignancy on chemotherapy"", ""Neutropenia"", ""Severe cell-mediated immunodeficiency"", ""Immersion injuries"", ""Animal bites""]","[""Monitor infection improvement in cellulitis by day 5"", ""Continue therapy until full recovery"", ""Early pleural fluid drainage needed to prevent fibrosis in GAS pneumonia""]",Success
